unitid,institution name,year,institution name,HD2019.Street address or post office box,HD2019.City location of institution,HD2019.ZIP code,HD2019.County name,HD2019.Longitude location of institution,HD2019.Latitude location of institution,DRVEF2019.Total  enrollment,DRVEF2019.Full-time enrollment,DRVEF2019.Part-time enrollment
117788,Los Angeles City College,2019,Los Angeles City College,855 N Vermont Ave,Los Angeles,90029,Los Angeles County,-118.292169,34.087301,14937,3264,11673
117803,Los Angeles County College of Nursing and Allied Health,2019,Los Angeles County College of Nursing and Allied Health,1237 N. Mission Rd.,Los Angeles,90033-1084,Los Angeles County,-118.211852,34.062647,199,0,199
117867,Los Angeles Mission College,2019,Los Angeles Mission College,13356 Eldridge Avenue,Sylmar,91342-3200,Los Angeles County,-118.4195,34.314668,10128,1896,8232
117894,Los Medanos College,2019,Los Medanos College,2700 East Leland Road,Pittsburg,94565,Contra Costa County,-121.860967,38.006474,9435,3172,6263
117900,Los Rios Community College District Office,2019,Los Rios Community College District Office,1919 Spanos Ct,Sacramento,95825-3981,Sacramento County,-121.417145,38.579859,,,
117946,Loyola Marymount University,2019,Loyola Marymount University,One Lmu Drive,Los Angeles,90045-2659,Los Angeles County,-118.415744,33.97085,9822,8727,1095
117955,Lu Ross Academy,2019,Lu Ross Academy,470 East Thompson Blvd,Ventura,93001-2729,Ventura County,-119.293952,34.278034,215,215,0
118134,Lyle's College of Beauty,2019,Lyle's College of Beauty,2935 F St,Bakersfield,93301,Kern County,-119.02387,35.386539,88,49,39
118143,Lyle's College of  Beauty,2019,Lyle's College of  Beauty,6735 N First Ave Ste 112,Fresno,93710,Fresno County,-119.774167,36.836265,83,27,56
118161,Lytles Redwood Empire Beauty College Inc,2019,Lytles Redwood Empire Beauty College Inc,186 Wikiup Dr,Santa Rosa,95403,Sonoma County,-122.75777,38.508385,115,115,0
118189,MTI Business College Inc,2019,MTI Business College Inc,6006 N. El Dorado Street,Stockton,95207-4349,San Joaquin County,-121.308445,38.007885,,,
118198,MTI College,2019,MTI College,5221 Madison Avenue,Sacramento,95841-9817,Sacramento County,-121.342568,38.661377,756,756,0
118347,College of Marin,2019,College of Marin,835 College Ave,Kentfield,94904-2590,Marin County,-122.549149,37.954897,5182,1215,3967
118541,Marymount California University,2019,Marymount California University,30800 Palos Verdes Drive East,Rancho Palos Verdes,90275-6299,Los Angeles County,-118.333371,33.734887,647,612,35
118684,Mendocino College,2019,Mendocino College,1000 Hensley Creek Road,Ukiah,95482,Mendocino County,-123.228809,39.188989,3960,992,2968
118693,Menlo College,2019,Menlo College,1000 El Camino Real,Atherton,94027-4301,San Mateo County,-122.190797,37.453475,894,820,74
118718,Merced College,2019,Merced College,3600 M St,Merced,95348-2898,Merced County,-120.476464,37.3353,11173,4823,6350
118772,Merritt College,2019,Merritt College,12500 Campus Dr,Oakland,94619-3196,Alameda County,-122.167335,37.789088,6857,1546,5311
118888,Mills College,2019,Mills College,5000 MacArthur Blvd,Oakland,94613,Alameda County,-122.182294,37.781425,1122,935,187
118912,MiraCosta College,2019,MiraCosta College,One Barnard Drive,Oceanside,92056-3899,San Diego County,-117.302606,33.190483,12992,4830,8162
118930,Mission College,2019,Mission College,3000 Mission College Blvd,Santa Clara,95054-1897,Santa Clara County,-121.980783,37.391935,6995,1688,5307
118958,Modern Beauty Academy,2019,Modern Beauty Academy,699 South C St,Oxnard,93030,Ventura County,-119.181423,34.195384,50,23,27
118976,Modesto Junior College,2019,Modesto Junior College,435 College Ave,Modesto,95350-5800,Stanislaus County,-121.009792,37.651056,18068,5591,12477
118994,Moler Barber College,2019,Moler Barber College,3815 Telegraph Ave,Oakland,94609-2419,Alameda County,-122.265352,37.827075,279,279,0
119058,Middlebury Institute of International Studies at Monterey,2019,Middlebury Institute of International Studies at Monterey,460 Pierce Street,Monterey,93940,Monterey County,-121.897325,36.599736,688,619,69
119067,Monterey Peninsula College,2019,Monterey Peninsula College,980 Fremont St,Monterey,93940-4799,Monterey County,-121.884931,36.590558,7920,2339,5581
119137,Moorpark College,2019,Moorpark College,7075 Campus Rd,Moorpark,93021-1695,Ventura County,-118.834528,34.301146,14275,5269,9006
119164,Mt San Antonio College,2019,Mt San Antonio College,1100 N Grand Ave,Walnut,91789-1399,Los Angeles County,-117.846629,34.047764,29799,10394,19405
119173,Mount Saint Mary's University,2019,Mount Saint Mary's University,12001 Chalon Rd,Los Angeles,90049-1599,Los Angeles County,-118.482879,34.085315,2855,2262,593
119216,Mt San Jacinto Community College District,2019,Mt San Jacinto Community College District,1499 N. State St.,San Jacinto,92583-2399,Riverside County,-116.971169,33.806748,15597,5467,10130
119270,Musicians Institute,2019,Musicians Institute,6752 Hollywood Blvd.,Hollywood,90028,Los Angeles County,-118.337582,34.101265,1022,723,299
119331,Napa Valley College,2019,Napa Valley College,2277 Napa-Vallejo Hwy,Napa,94558-6236,Napa County,-122.274381,38.274081,5292,2121,3171
119553,National Holistic Institute,2019,National Holistic Institute,5900 Doyle Street,Emeryville,94608-2008,Alameda County,-122.287672,37.841898,1237,1203,34
119605,National University,2019,National University,11255 North Torrey Pines Road,La Jolla,92037-1011,San Diego County,-117.243026,32.909894,16670,7692,8978
119678,Naval Postgraduate School,2019,Naval Postgraduate School,1 University Circle,Monterey,93943,Monterey County,-121.874248,36.597159,2841,1548,1293
119775,Newschool of Architecture and Design,2019,Newschool of Architecture and Design,1249 F St,San Diego,92101,San Diego County,-117.153305,32.71331,497,419,78
119845,Newberry School of Beauty,2019,Newberry School of Beauty,16860 Devonshire Blvd,Granada Hills,91344-7401,Los Angeles County,-118.499693,34.256683,113,85,28
119951,North Adrian's College of Beauty Inc,2019,North Adrian's College of Beauty Inc,124 Floyd Ave,Modesto,95350-2381,Stanislaus County,-120.992753,37.677778,236,236,0
120023,North Orange County Community College District,2019,North Orange County Community College District,1830 W. Romneya Drive,Anaheim,92801-1819,Orange County,-117.945559,33.849957,,,
120069,North-West College-Pomona,2019,North-West College-Pomona,170  W Holt Ave,Pomona,91768,Los Angeles County,-117.751227,34.062043,187,187,0
120078,North-West College-West Covina,2019,North-West College-West Covina,2121 W Garvey Ave,West Covina,91790,Los Angeles County,-117.949583,34.072071,700,700,0
120087,North-West College-Van Nuys,2019,North-West College-Van Nuys,14540 Haynes,Van Nuys,91411,Los Angeles County,-118.450184,34.189497,198,198,0
120166,Northwestern Polytechnic University,2019,Northwestern Polytechnic University,47671 Westinghouse Drive,Fremont,94539,Alameda County,-121.925953,37.477991,30,26,4
120184,Notre Dame de Namur University,2019,Notre Dame de Namur University,1500 Ralston Ave,Belmont,94002-1908,San Mateo County,-122.284794,37.517111,1363,757,606
120254,Occidental College,2019,Occidental College,1600 Campus Rd,Los Angeles,90041-3392,Los Angeles County,-118.210908,34.127124,1985,1962,23
120290,Ohlone College,2019,Ohlone College,43600 Mission Blvd,Fremont,94539-0390,Alameda County,-121.916339,37.52773,8900,3304,5596
120342,Orange Coast College,2019,Orange Coast College,2701 Fairview Road,Costa Mesa,92626,Orange County,-117.909086,33.66927,20042,7833,12209
120403,Otis College of Art and Design,2019,Otis College of Art and Design,9045 Lincoln Blvd,Los Angeles,90045-3505,Los Angeles County,-118.416615,33.956607,1183,1167,16
120421,Oxnard College,2019,Oxnard College,4000 S Rose Ave,Oxnard,93033-6699,Ventura County,-119.157604,34.166104,7464,2030,5434
120537,Hope International University,2019,Hope International University,2500 E Nutwood Ave,Fullerton,92831-3199,Orange County,-117.88573,33.87616,1130,868,262
120661,Concorde Career College-San Diego,2019,Concorde Career College-San Diego,"4393 Imperial Avenue, Suite 100",San Diego,92113-1964,San Diego County,-117.102845,32.702814,730,710,20
120698,Palo Alto University,2019,Palo Alto University,1791 Arastradero Rd,Palo Alto,94304-1337,Santa Clara County,-122.187437,37.382216,1075,833,242
120768,Pacific Oaks College,2019,Pacific Oaks College,45 Eureka Street,Pasadena,91103,Los Angeles County,-118.151323,34.153382,1163,40,1123
120795,Pacific School of Religion,2019,Pacific School of Religion,1798 Scenic Ave,Berkeley,94709,Alameda County,-122.263155,37.87669,98,46,52
120838,Pacific States University,2019,Pacific States University,3424 Wilshire Blvd. 12th floor,Los Angeles,90010-2263,Los Angeles County,-118.298408,34.061315,28,26,2
120865,Pacific Union College,2019,Pacific Union College,One Angwin Ave,Angwin,94508-9707,Napa County,-122.440308,38.570585,909,825,84
120883,University of the Pacific,2019,University of the Pacific,3601 Pacific Ave,Stockton,95211-0197,San Joaquin County,-121.312301,37.981424,6447,5677,770
120953,Palo Verde College,2019,Palo Verde College,One College Drive,Blythe,92225,Riverside County,-114.651698,33.661538,4540,586,3954
120971,Palomar College,2019,Palomar College,1140 W. Mission,San Marcos,92069-1487,San Diego County,-117.183978,33.149483,23874,7870,16004
121044,Pasadena City College,2019,Pasadena City College,1570 E Colorado Blvd.,Pasadena,91106-2003,Los Angeles County,-118.118196,34.144552,26971,10010,16961
121150,Pepperdine University,2019,Pepperdine University,24255 Pacific Coast Hwy,Malibu,90263,Los Angeles County,-118.707077,34.037786,8824,5852,2972
121178,Peralta Community College System Office,2019,Peralta Community College System Office,333 E Eighth St,Oakland,94606,Alameda County,-122.260837,37.792667,,,
121257,Pitzer College,2019,Pitzer College,1050 North Mills Avenue,Claremont,91711-6101,Los Angeles County,-117.706675,34.104107,1086,1062,24
121275,Platt College-San Diego,2019,Platt College-San Diego,6250 El Cajon Blvd,San Diego,92115-3919,San Diego County,-117.063483,32.76373,115,115,0
121309,Point Loma Nazarene University,2019,Point Loma Nazarene University,3900 Lomaland Dr,San Diego,92106-2899,San Diego County,-117.250265,32.718391,4567,3122,1445
121345,Pomona College,2019,Pomona College,550 N College Ave,Claremont,91711-6319,Los Angeles County,-117.714556,34.099027,1637,1617,20
121363,Porterville College,2019,Porterville College,100 E College Ave,Porterville,93257,Tulare County,-119.014368,36.049256,4350,1861,2489
121433,Professional Institute of Beauty,2019,Professional Institute of Beauty,10801 E. Valley Mall,El Monte,91731,Los Angeles County,-118.039028,34.075561,111,111,0
121619,Santa Ana College,2019,Santa Ana College,1530 W. 17th Street,Santa Ana,92706-3398,Orange County,-117.887558,33.759309,27052,5110,21942
121628,Pardee RAND Graduate School,2019,Pardee RAND Graduate School,1776 Main St,Santa Monica,90401-3208,Los Angeles County,-118.490655,34.00973,108,108,0
121637,Shasta School of Cosmetology,2019,Shasta School of Cosmetology,678 N Market St,Redding,96003,Shasta County,-122.387248,40.597114,37,37,0
121691,University of Redlands,2019,University of Redlands,1200 E. Colton Ave,Redlands,92373-0999,San Bernardino County,-117.163218,34.064218,4832,4028,804
121707,College of the Redwoods,2019,College of the Redwoods,7351 Tompkins Hill Rd,Eureka,95501-9300,Humboldt County,-124.195293,40.698427,4665,1740,2925
121859,Salon Success Academy-Upland,2019,Salon Success Academy-Upland,1385 E. Foothill Blvd,Upland,91786,San Bernardino County,-117.631783,34.108247,164,158,6
121868,Salon Success Academy-Corona,2019,Salon Success Academy-Corona,2097 Compton Ave. Suite 201,Corona,92881,Riverside County,-117.535638,33.847649,116,116,0
121886,Rio Hondo College,2019,Rio Hondo College,3600 Workman Mill Rd,Whittier,90601-1616,Los Angeles County,-118.033506,34.019821,19358,5103,14255
121901,Riverside City College,2019,Riverside City College,4800 Magnolia Avenue,Riverside,92506,Riverside County,-117.384323,33.970918,21118,6091,15027
121992,Rosemead Beauty School,2019,Rosemead Beauty School,8531 E Valley Blvd,Rosemead,91770-1639,Los Angeles County,-118.082793,34.080756,344,311,33
122117,Dongguk University-Los Angeles,2019,Dongguk University-Los Angeles,440 Shatto Pl,Los Angeles,90020-1704,Los Angeles County,-118.289523,34.06597,131,101,30
122180,Sacramento City College,2019,Sacramento City College,3835 Freeport Blvd,Sacramento,95822-1386,Sacramento County,-121.491139,38.541096,20829,5335,15494
122205,Saddleback College,2019,Saddleback College,28000 Marguerite Pky,Mission Viejo,92692-3635,Orange County,-117.665584,33.553346,19709,5638,14071
122296,Samuel Merritt University,2019,Samuel Merritt University,3100 Telegraph Avenue,Oakland,94609,Alameda County,-122.266331,37.82029,2029,1430,599
122320,San Diego Community College District-District Office,2019,San Diego Community College District-District Office,3375 Camino del Rio South,San Diego,92108,San Diego County,-117.120504,32.776275,,,
122339,San Diego City College,2019,San Diego City College,1313 Park Boulevard,San Diego,92101-4787,San Diego County,-117.152733,32.717403,14056,2817,11239
122375,San Diego Mesa College,2019,San Diego Mesa College,7250 Mesa College Dr,San Diego,92111-4998,San Diego County,-117.169165,32.803825,20712,5224,15488
122384,San Diego Miramar College,2019,San Diego Miramar College,10440 Black Mountain Rd,San Diego,92126-2999,San Diego County,-117.120261,32.909757,14127,2751,11376
122409,San Diego State University,2019,San Diego State University,5500 Campanile Dr,San Diego,92182-0001,San Diego County,-117.071228,32.77525,35544,30544,5000
122436,University of San Diego,2019,University of San Diego,5998 Alcala Park,San Diego,92110-2492,San Diego County,-117.192073,32.770816,9181,7441,1740
122454,San Francisco Art Institute,2019,San Francisco Art Institute,800 Chestnut St,San Francisco,94133-2299,San Francisco County,-122.417,37.803575,332,300,32
122506,San Francisco Conservatory of Music,2019,San Francisco Conservatory of Music,50 Oak Street,San Francisco,94102-6011,San Francisco County,-122.420292,37.775543,452,447,5
122597,San Francisco State University,2019,San Francisco State University,1600 Holloway Ave,San Francisco,94132,San Francisco County,-122.476799,37.721224,29032,23608,5424
122603,San Francisco Theological Seminary,2019,San Francisco Theological Seminary,105 Seminary Road,San Anselmo,94960-0000,Marin County,-122.565407,37.969952,99,82,17
122612,University of San Francisco,2019,University of San Francisco,2130 Fulton St,San Francisco,94117-1080,San Francisco County,-122.450477,37.776618,10636,9876,760
122649,San Joaquin College of Law,2019,San Joaquin College of Law,901 Fifth St,Clovis,93612-1312,Fresno County,-119.697657,36.82448,171,18,153
122658,San Joaquin Delta College,2019,San Joaquin Delta College,5151 Pacific Ave,Stockton,95207,San Joaquin County,-121.318266,37.995129,18533,8564,9969
122685,San Joaquin Valley College-Visalia,2019,San Joaquin Valley College-Visalia,8344 W Mineral King Ave,Visalia,93291-9283,Tulare County,-119.384981,36.328049,6621,6621,0
122728,William Jessup University,2019,William Jessup University,2121 University Avenue,Rocklin,95765-3707,Placer County,-121.292312,38.819728,1743,1470,273
122737,San Jose-Evergreen Community College District,2019,San Jose-Evergreen Community College District,40 South Market Street,San Jose,95113-1599,Santa Clara County,-121.89118,37.334851,,,
122746,San Jose City College,2019,San Jose City College,2100 Moorpark Ave,San Jose,95128-2798,Santa Clara County,-121.926185,37.315827,8760,2154,6606
122755,San Jose State University,2019,San Jose State University,One Washington Square,San Jose,95192-0001,Santa Clara County,-121.880621,37.336569,36085,27654,8431
122782,San Mateo County Community College District Office,2019,San Mateo County Community College District Office,3401 CSM Drive,San Mateo,94402,San Mateo County,-122.337627,37.531305,,,
122791,College of San Mateo,2019,College of San Mateo,1700 W Hillsdale Blvd,San Mateo,94402-3784,San Mateo County,-122.334801,37.535698,8163,2193,5970
122834,Santa Barbara Business College-Bakersfield,2019,Santa Barbara Business College-Bakersfield,5300 California Avenue,Bakersfield,93309,Kern County,-119.061264,35.359544,309,309,0
122852,Santa Barbara Business College-Santa Maria,2019,Santa Barbara Business College-Santa Maria,303 E Plaza Dr Ste 1,Santa Maria,93454,Santa Barbara County,-120.433296,34.937806,89,89,0
122889,Santa Barbara City College,2019,Santa Barbara City College,721 Cliff Drive,Santa Barbara,93109-2394,Santa Barbara County,-119.698045,34.406788,14133,6555,7578
122931,Santa Clara University,2019,Santa Clara University,500 El Camino Real,Santa Clara,95053,Santa Clara County,-121.93784,37.348362,8669,7470,1199
122977,Santa Monica College,2019,Santa Monica College,1900 Pico Blvd,Santa Monica,90405-1628,Los Angeles County,-118.469765,34.017022,27497,10987,16510
123013,Santa Rosa Junior College,2019,Santa Rosa Junior College,1501 Mendocino Avenue,Santa Rosa,95401-4395,Sonoma County,-122.718974,38.45709,19101,5904,13197
123095,Saybrook University,2019,Saybrook University,55 W Eureka Street,Pasadena,91103,Los Angeles County,-118.152155,34.153103,688,192,496
123165,Scripps College,2019,Scripps College,1030 North Columbia Avenue,Claremont,91711-3905,Los Angeles County,-117.711294,34.104147,1109,1099,10
123217,College of the Sequoias,2019,College of the Sequoias,915 S. Mooney Blvd,Visalia,93277-2214,Tulare County,-119.315182,36.323877,12815,5489,7326
123280,Shasta Bible College and Graduate School,2019,Shasta Bible College and Graduate School,2951 Goodwater Ave.,Redding,96002,Shasta County,-122.314419,40.566034,41,21,20
123299,Shasta College,2019,Shasta College,11555 Old Oregon Trail,Redding,96003,Shasta County,-122.317982,40.625731,9307,3555,5752
123341,Sierra College,2019,Sierra College,5100 Sierra College Blvd,Rocklin,95677-3397,Placer County,-121.211688,38.790773,18226,6984,11242
123350,Sierra College of Beauty,2019,Sierra College of Beauty,1340 W 18th St,Merced,95340,Merced County,-120.495874,37.306975,138,90,48
123448,Trinity Law School,2019,Trinity Law School,2200 N Grand Ave,Santa Ana,92705,Orange County,-117.852059,33.766071,326,189,137
123457,Simpson University,2019,Simpson University,2211 College View Drive,Redding,96003-8606,Shasta County,-122.332981,40.61334,854,569,285
123484,College of the Siskiyous,2019,College of the Siskiyous,800 College Ave,Weed,96094-2899,Siskiyou County,-122.38909,41.413005,1761,775,986
123493,Charles A Jones Career and Education Center,2019,Charles A Jones Career and Education Center,5451 Lemon Hill Ave,Sacramento,95824-1529,Sacramento County,-121.440796,38.516233,243,243,0
123509,Skyline College,2019,Skyline College,3300 College Dr,San Bruno,94066-1698,San Mateo County,-122.467335,37.63042,8803,2452,6351
123527,San Bernardino Valley College,2019,San Bernardino Valley College,701 South Mount Vernon Avenue,San Bernardino,92410-2798,San Bernardino County,-117.313248,34.086353,14872,4749,10123
123554,Saint Mary's College of California,2019,Saint Mary's College of California,1928 Saint Marys Road,Moraga,94575,Contra Costa County,-122.109031,37.840731,3692,3076,616
123563,Solano Community College,2019,Solano Community College,4000 Suisun Valley Rd,Fairfield,94534-3197,Solano County,-122.122368,38.235881,9330,2690,6640
123572,Sonoma State University,2019,Sonoma State University,1801 E Cotati Ave,Rohnert Park,94928-3609,Sonoma County,-122.677066,38.340274,8887,7784,1103
123633,South Baylo University,2019,South Baylo University,1126 N Brookhurst St,Anaheim,92801-1701,Orange County,-117.958727,33.848216,338,272,66
123642,South Coast College,2019,South Coast College,2011 W. Chapman Avenue,Orange,92868-2609,Orange County,-117.874031,33.78818,226,149,77
123651,Vanguard University of Southern California,2019,Vanguard University of Southern California,55 Fair Dr,Costa Mesa,92626,Orange County,-117.900911,33.662686,2175,1749,426
123679,Concorde Career College-Garden Grove,2019,Concorde Career College-Garden Grove,"12951 Euclid Street, Suite 101",Garden Grove,92840-9201,Orange County,-117.938395,33.774741,589,504,85
123800,Southwestern College,2019,Southwestern College,900 Otay Lakes Rd.,Chula Vista,91910-7299,San Diego County,-116.996803,32.640281,19231,7406,11825
123855,St John's Seminary,2019,St John's Seminary,5012 Seminary Rd,Camarillo,93012-2500,Ventura County,-119.001867,34.243921,104,102,2
123916,Starr King School for the Ministry,2019,Starr King School for the Ministry,2441 Le Conte Avenue,Berkeley,94709-1209,Alameda County,-122.261778,37.876939,88,60,28
123925,State Center Community College District,2019,State Center Community College District,1171 Fulton Street,Fresno,93721,Fresno County,-119.792324,36.735642,,,
123943,Marshall B Ketchum University,2019,Marshall B Ketchum University,2575 Yorba Linda Blvd,Fullerton,92831-1699,Orange County,-117.886229,33.889348,739,735,4
123952,Southern California Institute of Architecture,2019,Southern California Institute of Architecture,960 E. 3rd Street,Los Angeles,90013-1822,Los Angeles County,-118.232799,34.044215,497,487,10
123961,University of Southern California,2019,University of Southern California,University Park,Los Angeles,90089,Los Angeles County,-118.284169,34.021281,48321,41497,6824
123970,Southwestern Law School,2019,Southwestern Law School,3050 Wilshire Boulevard,Los Angeles,90010-1106,Los Angeles County,-118.288375,34.061558,819,611,208
124113,Taft College,2019,Taft College,29 Cougar Court,Taft,93268,Kern County,-119.459751,35.149343,5968,1334,4634
124283,Claremont School of Theology,2019,Claremont School of Theology,1325 N College Ave,Claremont,91711-3199,Los Angeles County,-117.715256,34.107602,331,227,104
124292,Thomas Aquinas College,2019,Thomas Aquinas College,"10,000 Ojai Road",Santa Paula,93060,Ventura County,-119.087141,34.429009,439,439,0
124487,Epic Bible College,2019,Epic Bible College,4330 Auburn Boulevard,Sacramento,95841,Sacramento County,-121.362642,38.645152,145,32,113
124557,University of California-System Administration Central Office,2019,University of California-System Administration Central Office,1111 Franklin St,Oakland,94607-5200,Alameda County,-122.27134,37.802222,,,
124681,United Education Institute-Huntington Park Campus,2019,United Education Institute-Huntington Park Campus,6055 Pacific Boulevard,Huntington Park,90255,Los Angeles County,-118.226206,33.986057,921,921,0
124706,Concorde Career College-San Bernardino,2019,Concorde Career College-San Bernardino,"201 East Airport Drive, Suite A",San Bernardino,92408-3403,San Bernardino County,-117.283995,34.066823,572,572,0
124937,Concorde Career College-North Hollywood,2019,Concorde Career College-North Hollywood,12412 Victory Boulevard,North Hollywood,91606-3134,Los Angeles County,-118.403627,34.186407,601,554,47
125019,Ventura County Community College System Office,2019,Ventura County Community College System Office,"761 E. Daily Drive, Suite 200",Camarillo,93010,Ventura County,-119.057951,34.219073,,,
125028,Ventura College,2019,Ventura College,4667 Telegraph Rd,Ventura,93003-3872,Ventura County,-119.230604,34.277393,12696,3964,8732
125037,The Santa Barbara and Ventura Colleges of Law at Ventura,2019,The Santa Barbara and Ventura Colleges of Law at Ventura,4475 Market St,Ventura,93003,Ventura County,-119.232988,34.25747,187,65,122
125091,Victor Valley College,2019,Victor Valley College,18422 Bear Valley Rd,Victorville,92395-5850,San Bernardino County,-117.261456,34.472231,13126,4090,9036
125170,Berkeley City College,2019,Berkeley City College,2050 Center Sreet,Berkeley,94704,Alameda County,-122.269877,37.869769,5644,1466,4178
125222,West Valley Mission Community College District Office,2019,West Valley Mission Community College District Office,14000 Fruitvale Ave,Saratoga,95070-5698,Santa Clara County,-122.008324,37.26398,,,
125310,Waynes College of Beauty,2019,Waynes College of Beauty,1271 North Main Street,Salinas,93906-2830,Monterey County,-121.652672,36.700635,42,42,0
125462,West Hills College-Coalinga,2019,West Hills College-Coalinga,300 Cherry Lane,Coalinga,93210,Fresno County,-120.356747,36.147891,4198,719,3479
125471,West Los Angeles College,2019,West Los Angeles College,9000 Overland Avenue,Culver City,90230-3519,Los Angeles County,-118.386664,34.004512,13048,2446,10602
125499,West Valley College,2019,West Valley College,14000 Fruitvale Ave,Saratoga,95070-5698,Santa Clara County,-122.008324,37.26398,7619,2510,5109
125532,Carrington College-Sacramento,2019,Carrington College-Sacramento,8909 Folsom Blvd.,Sacramento,95826,Sacramento County,-121.371331,38.556151,3261,3261,0
125718,Westminster Theological Seminary in California,2019,Westminster Theological Seminary in California,1725 Bear Valley Parkway,Escondido,92027,San Diego County,-117.046371,33.121447,133,105,28
125727,Westmont College,2019,Westmont College,955 La Paz Rd,Santa Barbara,93108-1089,Santa Barbara County,-119.662517,34.450151,1317,1312,5
125763,Whittier College,2019,Whittier College,13406 E Philadelphia Street,Whittier,90601,Los Angeles County,-118.032299,33.978773,1841,1763,78
125897,Woodbury University,2019,Woodbury University,7500 Glenoaks Blvd,Burbank,91504-1052,Los Angeles County,-118.341147,34.208011,1225,1171,54
126012,The Wright Institute,2019,The Wright Institute,2728 Durant Ave,Berkeley,94704-1796,Alameda County,-122.253168,37.868221,487,487,0
126049,Thomas Jefferson School of Law,2019,Thomas Jefferson School of Law,701 B Street - Suite 110,San Diego,92101,San Diego County,-117.157862,32.717595,219,173,46
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,2019,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,7215 Waring Ave,Los Angeles,90046-7660,Los Angeles County,-118.346613,34.085465,138,138,0
126100,Yosemite Community College District Office,2019,Yosemite Community College District Office,2201 Blue Gum Ave,Modesto,95358,Stanislaus County,-121.040246,37.66107,,,
126119,Yuba College,2019,Yuba College,2088 N Beale Rd,Marysville,95901,Yuba County,-121.53964,39.126536,5626,2300,3326
154022,Ashford University,2019,Ashford University,8620 Spectrum Center Boulevard,San Diego,92123,San Diego County,-117.141961,32.8273,32620,32619,1
243744,Stanford University,2019,Stanford University,,Stanford,94305,Santa Clara County,-122.167359,37.429434,17249,16144,1105
245838,Antioch University-Los Angeles,2019,Antioch University-Los Angeles,400 Corporate Pointe,Culver City,90230-7615,Los Angeles County,-118.384458,33.988533,792,580,212
245847,Antioch University-Santa Barbara,2019,Antioch University-Santa Barbara,602 Anacapa Street,Santa Barbara,93101,Santa Barbara County,-119.6958,34.419203,325,248,77
246974,Carrington College-San Leandro,2019,Carrington College-San Leandro,"15555 East 14th St., Ste. 500",San Leandro,94578-1977,Alameda County,-122.12567,37.699627,,,
248846,FIDM-Fashion Institute of Design & Merchandising-San Diego,2019,FIDM-Fashion Institute of Design & Merchandising-San Diego,"350 Tenth Avenue, Third Floor",San Diego,92101-4903,San Diego County,-117.155894,32.708877,,,
260789,Platt College-Los Angeles,2019,Platt College-Los Angeles,"1000 South Fremont Avenue, A10",Alhambra,91803,Los Angeles County,-118.150013,34.081723,727,727,0
262022,Bethel Seminary-San Diego,2019,Bethel Seminary-San Diego,6116 Arosa St,San Diego,92115,San Diego County,-117.06605,32.765387,47,27,20
262086,Brandman University,2019,Brandman University,16355 Laguna Canyon Road,Irvine,92618,Orange County,-117.769012,33.656401,10231,3271,6960
262369,Adrian's College of Beauty Turlock,2019,Adrian's College of Beauty Turlock,1340 W Main St,Turlock,95380,Stanislaus County,-120.863784,37.491448,90,90,0
262402,California Career School,2019,California Career School,1100 Technology Cir,Anaheim,92805,Orange County,-117.906219,33.819547,82,82,0
365125,Palomar Institute of Cosmetology,2019,Palomar Institute of Cosmetology,355 Via Vera Cruz #3,San Marcos,92078,San Diego County,-117.188351,33.13663,141,141,0
366289,InterCoast Colleges-Santa Ana,2019,InterCoast Colleges-Santa Ana,"1720 E. Garry Ave, Suite 103",Santa Ana,92705,Orange County,-117.85367,33.70497,226,226,0
366401,Las Positas College,2019,Las Positas College,3000 Campus Hill Drive,Livermore,94551-7650,Alameda County,-121.80058,37.710873,8706,2956,5750
366711,California State University-San Marcos,2019,California State University-San Marcos,333 S Twin Oaks Valley Rd,San Marcos,92096-0001,San Diego County,-117.159013,33.130569,16053,13066,2987
367954,University of St. Augustine for Health Sciences,2019,University of St. Augustine for Health Sciences,700 Windy Point Drive,San Marcos,92069,San Diego County,-117.165964,33.151849,4353,4071,282
368771,Hypnosis Motivation Institute,2019,Hypnosis Motivation Institute,18607 Ventura Blvd Ste 310,Tarzana,91356-4159,Los Angeles County,-118.538719,34.170219,61,61,0
368780,Los Angeles ORT College-Los Angeles Campus,2019,Los Angeles ORT College-Los Angeles Campus,6435 Wilshire Boulevard,Los Angeles,90048,Los Angeles County,-118.369564,34.064181,,,
368832,Thanh Le College School of Cosmetology,2019,Thanh Le College School of Cosmetology,12875 chapman ave,Garden Grove,92840,Orange County,-117.908306,33.789713,32,22,10
371690,Downey Adult School,2019,Downey Adult School,12340 Woodruff Ave,Downey,90241,Los Angeles County,-118.115727,33.91965,613,192,421
371830,CRU Institute of Cosmetology and Barbering,2019,CRU Institute of Cosmetology and Barbering,11889 Valley View St Suite C,Garden Grove,92845-4321,Orange County,-118.030758,33.790145,65,63,2
371928,Modern Technology School,2019,Modern Technology School,"16560 Harbor Blvd., Suite K",Fountain Valley,92708-9821,Orange County,-117.918837,33.723142,95,95,0
371964,National Career Education,2019,National Career Education,6249 Sunrise Blvd,Citrus Heights,95610,Sacramento County,-121.273917,38.679835,440,440,0
372028,North-West College-Glendale,2019,North-West College-Glendale,221 North Brand,Glendale,91203,Los Angeles County,-118.255462,34.148981,154,154,0
