unitid,institution name,year,institution name,HD2019.Street address or post office box,HD2019.City location of institution,HD2019.ZIP code,HD2019.County name,HD2019.Longitude location of institution,HD2019.Latitude location of institution,DRVEF2019.Total  enrollment,DRVEF2019.Full-time enrollment,DRVEF2019.Part-time enrollment
110547,California State University-Dominguez Hills,2019,California State University-Dominguez Hills,1000 E Victoria St,Carson,90747-0005,Los Angeles County,-118.255917,33.864766,17977,13430,4547
110556,California State University-Fresno,2019,California State University-Fresno,5241 N Maple Ave,Fresno,93740,Fresno County,-119.744569,36.811154,24298,20796,3502
110565,California State University-Fullerton,2019,California State University-Fullerton,800 N State College Blvd,Fullerton,92831-3599,Orange County,-117.885446,33.881506,40445,31179,9266
110574,California State University-East Bay,2019,California State University-East Bay,25800 Carlos Bee Blvd,Hayward,94542,Alameda County,-122.054135,37.657694,16064,12494,3570
110583,California State University-Long Beach,2019,California State University-Long Beach,1250 Bellflower Blvd,Long Beach,90840-0115,Los Angeles County,-118.11204,33.782818,38674,32160,6514
110592,California State University-Los Angeles,2019,California State University-Los Angeles,5151 State University Dr,Los Angeles,90032-8506,Los Angeles County,-118.168965,34.066927,26671,22177,4494
110608,California State University-Northridge,2019,California State University-Northridge,18111 Nordhoff St,Northridge,91330,Los Angeles County,-118.529319,34.240126,39910,31478,8432
110617,California State University-Sacramento,2019,California State University-Sacramento,6000 J St,Sacramento,95819-2694,Sacramento County,-121.423549,38.559415,31992,25962,6030
110635,University of California-Berkeley,2019,University of California-Berkeley,200 California Hall,Berkeley,94720,Alameda County,-122.260463,37.871918,43185,39950,3235
110644,University of California-Davis,2019,University of California-Davis,One Shields Avenue,Davis,95616-8678,Yolo County,-121.749567,38.539667,38634,37272,1362
110653,University of California-Irvine,2019,University of California-Irvine,501 Aldrich Hall,Irvine,92697,Orange County,-117.841248,33.648434,36908,35936,972
110662,University of California-Los Angeles,2019,University of California-Los Angeles,405 Hilgard Ave,Los Angeles,90095-1405,Los Angeles County,-118.443901,34.068892,44371,42767,1604
110671,University of California-Riverside,2019,University of California-Riverside,900 University Ave,Riverside,92521,Riverside County,-117.32741,33.97246,25547,24879,668
110680,University of California-San Diego,2019,University of California-San Diego,9500 Gilman Dr,La Jolla,92093,San Diego County,-117.235866,32.877749,38736,37316,1420
110699,University of California-San Francisco,2019,University of California-San Francisco,500 Parnassus Ave,San Francisco,94143-0244,San Francisco County,-122.458489,37.763737,3180,3169,11
110705,University of California-Santa Barbara,2019,University of California-Santa Barbara,5221 Cheadle Hall,Santa Barbara,93106,Santa Barbara County,-119.846426,34.416297,26314,25633,681
110714,University of California-Santa Cruz,2019,University of California-Santa Cruz,1156 High St,Santa Cruz,95064-1011,Santa Cruz County,-122.058801,36.995584,19494,18907,587
110778,Sofia University,2019,Sofia University,1069 East Meadow Cr,Palo Alto,94303,Santa Clara County,-122.10866,37.430325,1349,87,1262
110875,California Beauty School,2019,California Beauty School,1115 15th St,Modesto,95354,Stanislaus County,-120.99689,37.645217,105,83,22
110918,California Christian College,2019,California Christian College,5364 E. Belmont Avenue,Fresno,93727,Fresno County,-119.711123,36.749366,11,9,2
111045,California Graduate School of Theology,2019,California Graduate School of Theology,"12761 Euclid St.,",Garden Grove,92840-1340,Orange County,-117.936119,33.774619,32,32,0
111054,California Hair Design Academy,2019,California Hair Design Academy,"8011 University Avenue, Suite A-2",La Mesa,91942-5055,San Diego County,-117.024261,32.765221,128,128,0
111081,California Institute of the Arts,2019,California Institute of the Arts,24700 W McBean Pky,Valencia,91355-2397,Los Angeles County,-118.566837,34.39327,1520,1506,14
111188,California State University Maritime Academy,2019,California State University Maritime Academy,200 Maritime Academy Dr,Vallejo,94590-8181,Solano County,-122.231551,38.069061,941,888,53
111391,California Western School of Law,2019,California Western School of Law,225 Cedar St,San Diego,92101-3046,San Diego County,-117.162416,32.722192,793,541,252
111434,Canada College,2019,Canada College,4200 Farm Hill Blvd.,Redwood City,94061-1099,San Mateo County,-122.265398,37.44877,5799,1000,4799
111461,College of the Canyons,2019,College of the Canyons,26455 Rockwell Canyon Rd,Santa Clarita,91355-1899,Los Angeles County,-118.568698,34.403993,19089,6040,13049
111513,Career Academy of Beauty,2019,Career Academy of Beauty,12471 Valley View,Garden Grove,92845,Orange County,-118.031697,33.781018,159,135,24
111638,Casa Loma College-Van Nuys,2019,Casa Loma College-Van Nuys,6725 Kester Ave,Van Nuys,91405,Los Angeles County,-118.457781,34.192829,162,162,0
111708,CET-San Diego,2019,CET-San Diego,4153 Market Street,San Diego,92102,San Diego County,-117.105328,32.711302,170,170,0
111717,CET-San Jose,2019,CET-San Jose,701 Vine St,San Jose,95110,Santa Clara County,-121.88698,37.322723,229,229,0
111726,CET-El Centro,2019,CET-El Centro,294 S 3rd St,El Centro,92243,Imperial County,-115.549079,32.790908,217,217,0
111744,CET-Colton,2019,CET-Colton,1099 N. Pepper Ave,Colton,92324,San Bernardino County,-117.353488,34.077381,166,166,0
111762,CET-Watsonville,2019,CET-Watsonville,10 Blanca Lane,Watsonville,95076,Santa Cruz County,-121.767991,36.931833,116,116,0
111799,CET-Salinas,2019,CET-Salinas,24 East Alvin Drive,Salinas,93906,Monterey County,-121.65236,36.707333,144,144,0
111887,Cerritos College,2019,Cerritos College,11110 Alondra Blvd,Norwalk,90650-6298,Los Angeles County,-118.097337,33.886874,22287,7152,15135
111896,Cerro Coso Community College,2019,Cerro Coso Community College,3000 College Heights Blvd,Ridgecrest,93555-9571,Kern County,-117.66767,35.567525,5607,937,4670
111920,Chabot College,2019,Chabot College,25555 Hesperian Blvd,Hayward,94545,Alameda County,-122.105636,37.642458,13522,3805,9717
111939,Chaffey College,2019,Chaffey College,5885 Haven Ave,Rancho Cucamonga,91737-3002,San Bernardino County,-117.573932,34.147663,22731,6211,16520
111948,Chapman University,2019,Chapman University,One University Dr.,Orange,92866,Orange County,-117.852518,33.79302,9850,8860,990
111966,Charles R Drew University of Medicine and Science,2019,Charles R Drew University of Medicine and Science,1731 E 120th St,Los Angeles,90059,Los Angeles County,-118.242791,33.925658,748,641,107
112075,Concordia University-Irvine,2019,Concordia University-Irvine,1530 Concordia West,Irvine,92612-3203,Orange County,-117.812305,33.653665,3911,3104,807
112084,San Diego Christian College,2019,San Diego Christian College,200 Riverview Parkway,Santee,92071,San Diego County,-116.978112,32.842404,551,417,134
112093,Stockton Christian Life College,2019,Stockton Christian Life College,9023 West Lane,Stockton,95210-1401,San Joaquin County,-121.296258,38.029827,,,
112127,Church Divinity School of the Pacific,2019,Church Divinity School of the Pacific,2451 Ridge Road,Berkeley,94709-1211,Alameda County,-122.261122,37.876184,75,32,43
112172,Citrus College,2019,Citrus College,1000 W Foothill Blvd,Glendora,91741-1899,Los Angeles County,-117.885266,34.135487,13130,5329,7801
112181,Citrus Heights Beauty College,2019,Citrus Heights Beauty College,7518 Baird Way,Citrus Heights,95610-1410,Sacramento County,-121.289529,38.712951,123,123,0
112190,City College of San Francisco,2019,City College of San Francisco,50 Frida Kahlo Drive,San Francisco,94112-1898,San Francisco County,-122.451155,37.725953,24441,7598,16843
112251,Claremont Graduate University,2019,Claremont Graduate University,150 E Tenth St,Claremont,91711-6160,Los Angeles County,-117.713703,34.103585,1950,1206,744
112260,Claremont McKenna College,2019,Claremont McKenna College,500 E 9th St,Claremont,91711-6400,Los Angeles County,-117.711188,34.102154,1346,1343,3
112288,Milan Institute-Visalia,2019,Milan Institute-Visalia,6500 S. Mooney Blvd.,Visalia,93277,Tulare County,-119.312151,36.27164,395,395,0
112367,Clovis Adult Education,2019,Clovis Adult Education,1452 David E Cook Way,Clovis,93611,Fresno County,-119.690369,36.834459,671,296,375
112376,Coast Community College District Office,2019,Coast Community College District Office,1370 Adams Ave.,Costa Mesa,92626,Orange County,-117.916066,33.674004,,,
112385,Coastline Community College,2019,Coastline Community College,11460 Warner Ave.,Fountain Valley,92708-2597,Orange County,-117.929143,33.715634,10822,1267,9555
112394,Cogswell College,2019,Cogswell College,191 Baypointe Parkway,San Jose,95134,Santa Clara County,-121.94087,37.414049,552,433,119
112455,Coba Academy,2019,Coba Academy,663 N. Euclid Street,Anaheim,92801,Orange County,-117.943108,33.841141,81,81,0
112525,Western University of Health Sciences,2019,Western University of Health Sciences,309 E 2nd St,Pomona,91766-1854,Los Angeles County,-117.747732,34.058092,3792,3727,65
112561,Columbia College,2019,Columbia College,11600 Columbia College Dr,Sonora,95370,Tuolumne County,-120.388385,38.030367,2616,707,1909
112570,Columbia College Hollywood,2019,Columbia College Hollywood,18618 Oxnard St,Tarzana,91356-1411,Los Angeles County,-118.538793,34.17972,870,763,107
112686,Compton College,2019,Compton College,1111 East Artesia Blvd.,Compton,90221-5393,Los Angeles County,-118.209463,33.878226,5760,1409,4351
112817,Contra Costa Community College District Office,2019,Contra Costa Community College District Office,500 Court St,Martinez,94553,Contra Costa County,-122.135335,38.019072,,,
112826,Contra Costa College,2019,Contra Costa College,2600 Mission Bell Dr,San Pablo,94806-3195,Contra Costa County,-122.337377,37.969381,7127,1846,5281
113096,Cosumnes River College,2019,Cosumnes River College,8401 Center Parkway,Sacramento,95823-5799,Sacramento County,-121.423108,38.45295,14398,3853,10545
113111,Crafton Hills College,2019,Crafton Hills College,11711 Sand Canyon Road,Yucaipa,92339-1799,San Bernardino County,-117.101173,34.039178,6749,2072,4677
113193,Cuesta College,2019,Cuesta College,Highway 1,San Luis Obispo,93403-8106,San Luis Obispo County,-120.742235,35.331276,11281,3166,8115
113218,Cuyamaca College,2019,Cuyamaca College,900 Rancho San Diego Pky,El Cajon,92019,San Diego County,-116.943507,32.744954,8697,1979,6718
113236,Cypress College,2019,Cypress College,9200 Valley View,Cypress,90630-5897,Orange County,-118.025143,33.82833,15679,5568,10111
113333,De Anza College,2019,De Anza College,21250 Stevens Creek Blvd.,Cupertino,95014,Santa Clara County,-122.045558,37.320788,18669,9318,9351
113449,International School of Beauty Inc,2019,International School of Beauty Inc,72261 Hwy 111 Ste 121-B,Palm Desert,92260-2740,Riverside County,-116.403928,33.729555,143,143,0
113537,Dell'Arte International School of Physical Theatre,2019,Dell'Arte International School of Physical Theatre,131 H Street,Blue Lake,95525-0816,Humboldt County,-123.988808,40.880924,31,31,0
113573,College of the Desert,2019,College of the Desert,43-500 Monterey Ave,Palm Desert,92260,Riverside County,-116.388271,33.732108,11919,4890,7029
113582,Design Institute of San Diego,2019,Design Institute of San Diego,8555 Commerce Ave,San Diego,92121,San Diego County,-117.167374,32.880926,121,76,45
113634,Diablo Valley College,2019,Diablo Valley College,321 Golf Club Rd,Pleasant Hill,94523,Contra Costa County,-122.073142,37.968516,19871,7287,12584
113698,Dominican University of California,2019,Dominican University of California,50 Acacia Ave,San Rafael,94901-2298,Marin County,-122.512051,37.981279,1878,1544,334
113704,Dominican School of Philosophy & Theology,2019,Dominican School of Philosophy & Theology,2301 Vine Street,Berkeley,94708-1816,Alameda County,-122.264612,37.881099,67,53,14
113856,East Los Angeles College,2019,East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,91754-6099,Los Angeles County,-118.148785,34.040531,36885,6813,30072
113980,El Camino Community College District,2019,El Camino Community College District,16007 Crenshaw Blvd,Torrance,90506,Los Angeles County,-118.329913,33.885229,24223,8240,15983
114044,Elegance International,2019,Elegance International,6767 Sunset Blvd,Hollywood,90028,Los Angeles County,-118.338111,34.098445,,,
114114,Emperor's College of Traditional Oriental Medicine,2019,Emperor's College of Traditional Oriental Medicine,"1807 Wilshire Blvd, Ste #200",Santa Monica,90403,Los Angeles County,-118.485119,34.030438,237,152,85
114123,Empire College,2019,Empire College,3035 Cleveland Ave,Santa Rosa,95403-2126,Sonoma County,-122.729337,38.468052,371,353,18
114266,Evergreen Valley College,2019,Evergreen Valley College,3095 Yerba Buena Rd,San Jose,95135-1598,Santa Clara County,-121.76561,37.30167,9774,2894,6880
114354,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,2019,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,919 S Grand Ave,Los Angeles,90015-1421,Los Angeles County,-118.25993,34.044209,2227,2015,212
114390,FIDM-Fashion Institute of Design & Merchandising-San Francisco,2019,FIDM-Fashion Institute of Design & Merchandising-San Francisco,55 Stockton St,San Francisco,94108-5805,San Francisco County,-122.406651,37.786353,188,163,25
114415,FIDM-Fashion Institute of Design & Merchandising-Orange County,2019,FIDM-Fashion Institute of Design & Merchandising-Orange County,17590 Gillette Avenue,Irvine,92614-5610,Orange County,-117.852254,33.691963,,,
114433,Feather River Community College District,2019,Feather River Community College District,570 Golden Eagle Ave,Quincy,95971-9124,Plumas County,-120.973067,39.953101,2058,519,1539
114460,Federico Beauty Institute,2019,Federico Beauty Institute,1515 Sports Drive    Ste 100,Sacramento,95834,Sacramento County,-121.497761,38.64883,326,219,107
114549,Fielding Graduate University,2019,Fielding Graduate University,2020 De La Vina St,Santa Barbara,93105-3538,Santa Barbara County,-119.717161,34.42941,981,714,267
114585,Five Branches University,2019,Five Branches University,200 7th Avenue,Santa Cruz,95062,Santa Cruz County,-121.998245,36.964348,353,261,92
114637,Redondo Beach Beauty College,2019,Redondo Beach Beauty College,2205 West Artesia Boulevard,Redondo Beach,90278-3111,Los Angeles County,-118.372137,33.873098,76,76,0
114716,Foothill College,2019,Foothill College,12345 El Monte Rd,Los Altos Hills,94022,Santa Clara County,-122.127964,37.361655,15123,4169,10954
114734,Franciscan School of Theology,2019,Franciscan School of Theology,4050 Mission Avenue,Oceanside,92057,San Diego County,-117.320066,33.232416,54,23,31
114761,Fredrick and Charles Beauty College,2019,Fredrick and Charles Beauty College,831 F St,Eureka,95501,Humboldt County,-124.164986,40.798885,55,55,0
114789,Fresno City College,2019,Fresno City College,1101 E. University Ave,Fresno,93741,Fresno County,-119.796096,36.768164,24806,7792,17014
114813,Fresno Pacific University,2019,Fresno Pacific University,1717 S Chestnut Ave,Fresno,93702-4709,Fresno County,-119.735199,36.726831,4300,2987,1313
114831,Foothill-De Anza Community College District,2019,Foothill-De Anza Community College District,12345 El Monte Rd,Los Altos Hills,94022-4599,Santa Clara County,-122.12796,37.361664,,,
114840,Fuller Theological Seminary,2019,Fuller Theological Seminary,135 N Oakland Ave,Pasadena,91182,Los Angeles County,-118.140261,34.14778,2265,534,1731
114859,Fullerton College,2019,Fullerton College,321 E Chapman Avenue,Fullerton,92832-2095,Orange County,-117.918255,33.875514,22613,8470,14143
114938,Gavilan College,2019,Gavilan College,5055 Santa Teresa Blvd,Gilroy,95020,Santa Clara County,-121.569842,36.972627,5573,1942,3631
114947,Gemological Institute of America-Carlsbad,2019,Gemological Institute of America-Carlsbad,5345 Armada Dr,Carlsbad,92008,San Diego County,-117.318765,33.131313,167,167,0
115001,Glendale Community College,2019,Glendale Community College,1500 N Verdugo Rd,Glendale,91208-2894,Los Angeles County,-118.227666,34.16745,13584,6682,6902
115010,Glendale Career College,2019,Glendale Career College,240 North Brand Boulevard Lower Level,Glendale,91203,Los Angeles County,-118.254719,34.149771,611,611,0
115083,Golden Gate University-San Francisco,2019,Golden Gate University-San Francisco,536 Mission Street,San Francisco,94105-2968,San Francisco County,-122.398969,37.789374,2432,1041,1391
115126,Golden West College,2019,Golden West College,15744 Goldenwest St.,Huntington Beach,92647-2710,Orange County,-118.002568,33.732531,12025,4070,7955
115214,Graduate Theological Union,2019,Graduate Theological Union,2400 Ridge Rd,Berkeley,94709,Alameda County,-122.261847,37.87554,197,173,24
115287,Grossmont-Cuyamaca Community College District,2019,Grossmont-Cuyamaca Community College District,8800 Grossmont College Dr,El Cajon,92020-1799,San Diego County,-117.006277,32.815246,,,
115296,Grossmont College,2019,Grossmont College,8800 Grossmont College Dr,El Cajon,92020-1799,San Diego County,-117.006277,32.815246,16958,5905,11053
115357,Salon Success Academy-Riverside,2019,Salon Success Academy-Riverside,6780 Indiana Ave. Ste #200,Riverside,92506,Riverside County,-117.391024,33.943149,92,92,0
115393,Hartnell College,2019,Hartnell College,411 Central Avenue,Salinas,93901,Monterey County,-121.666054,36.675091,13024,3628,9396
115409,Harvey Mudd College,2019,Harvey Mudd College,301 Platt Blvd.,Claremont,91711,Los Angeles County,-117.709837,34.106515,904,894,10
115658,Hilltop Beauty School,2019,Hilltop Beauty School,6317 Mission St,Daly City,94014,San Mateo County,-122.461467,37.705502,111,50,61
115728,Holy Names University,2019,Holy Names University,3500 Mountain Blvd,Oakland,94619-1699,Alameda County,-122.187804,37.802276,966,723,243
115746,Pacifica Graduate Institute,2019,Pacifica Graduate Institute,249 Lambert Rd,Carpinteria,93013,Santa Barbara County,-119.580414,34.420881,829,558,271
115755,Humboldt State University,2019,Humboldt State University,1 Harpst Street,Arcata,95521-8299,Humboldt County,-124.078293,40.877481,7180,6479,701
115773,Humphreys University-Stockton and Modesto Campuses,2019,Humphreys University-Stockton and Modesto Campuses,6650 Inglewood Ave,Stockton,95207-3896,San Joaquin County,-121.316918,38.011489,486,249,237
115861,Imperial Valley College,2019,Imperial Valley College,380 E. Aten Road,Imperial,92251-0158,Imperial County,-115.503563,32.827209,8511,4085,4426
115931,Institute for Business and Technology,2019,Institute for Business and Technology,2400 Walsh Avenue,Santa Clara,95051-1303,Santa Clara County,-121.969541,37.368642,542,542,0
116226,Interior Designers Institute,2019,Interior Designers Institute,1061 Camelback Street,Newport Beach,92660,Orange County,-117.865722,33.641393,139,61,78
116350,Toni & Guy Hairdressing Academy-Santa Monica,2019,Toni & Guy Hairdressing Academy-Santa Monica,1358 5th St,Santa Monica,90401,Los Angeles County,-118.494755,34.017276,191,191,0
116439,Irvine Valley College,2019,Irvine Valley College,5500 Irvine Center Drive,Irvine,92618-0301,Orange County,-117.777539,33.675381,12812,4630,8182
116563,Bellus Academy-El Cajon,2019,Bellus Academy-El Cajon,1073 E Main St,El Cajon,92021,San Diego County,-116.94627,32.794072,200,200,0
116712,John F. Kennedy University,2019,John F. Kennedy University,100 Ellinwood Way,Pleasant Hill,94523-4817,Contra Costa County,-122.054761,37.956616,1125,364,761
116846,American Jewish University,2019,American Jewish University,15600 Mulholland Dr,Los Angeles,90077-1519,Los Angeles County,-118.471706,34.128153,108,103,5
117052,Reedley College,2019,Reedley College,995 N Reed Ave,Reedley,93654,Fresno County,-119.458555,36.605428,11296,3207,8089
117104,Life Pacific University,2019,Life Pacific University,1100 W. Covina Blvd.,San Dimas,91773-3298,Los Angeles County,-117.829388,34.098705,552,482,70
117140,University of La Verne,2019,University of La Verne,1950 Third St,La Verne,91750-4401,Los Angeles County,-117.773262,34.100855,7396,4921,2475
117168,Laguna College of Art and Design,2019,Laguna College of Art and Design,2222 Laguna Canyon Rd,Laguna Beach,92651,Orange County,-117.772564,33.561448,834,731,103
117195,Lake Tahoe Community College,2019,Lake Tahoe Community College,One College Drive,South Lake Tahoe,96150,El Dorado County,-119.972574,38.926797,2577,670,1907
117238,Lancaster Beauty School,2019,Lancaster Beauty School,44646 N 10th St W,Lancaster,93534,Los Angeles County,-118.147547,34.694914,134,134,0
117247,Laney College,2019,Laney College,900 Fallon Sreet,Oakland,94607,Alameda County,-122.26283,37.797257,10424,2547,7877
117274,Lassen Community College,2019,Lassen Community College,478-200 Hwy 139,Susanville,96130,Lassen County,-120.633271,40.432053,2526,572,1954
117520,Life Chiropractic College West,2019,Life Chiropractic College West,25001 Industrial Blvd,Hayward,94545-2800,Alameda County,-122.117619,37.638099,600,582,18
117548,Lincoln Law School of Sacramento,2019,Lincoln Law School of Sacramento,3140 J Street,Sacramento,95816,Sacramento County,-121.464021,38.57216,207,206,1
117557,Lincoln University,2019,Lincoln University,401 15th Street,Oakland,94612-2801,Alameda County,-122.269745,37.804788,475,441,34
117575,Southern California Seminary,2019,Southern California Seminary,2075 E. Madison Avenue,El Cajon,92019-1108,San Diego County,-116.905461,32.799614,176,74,102
117627,La Sierra University,2019,La Sierra University,4500 Riverwalk Parkway,Riverside,92505-8247,Riverside County,-117.500054,33.910704,2159,1904,255
117636,Loma Linda University,2019,Loma Linda University,11139 Anderson Street,Loma Linda,92350,San Bernardino County,-117.260605,34.051241,4462,3646,816
117645,Long Beach City College,2019,Long Beach City College,4901 E. Carson St.,Long Beach,90808-1706,Los Angeles County,-118.135633,33.833593,24127,9431,14696
117672,Southern California University of Health Sciences,2019,Southern California University of Health Sciences,16200 East Amber Valley Drive,Whittier,90604,Los Angeles County,-117.983401,33.922966,1386,757,629
117681,Los Angeles Community College District Office,2019,Los Angeles Community College District Office,770 Wilshire Blvd,Los Angeles,90017,Los Angeles County,-118.258047,34.048969,,,
117690,Los Angeles Harbor College,2019,Los Angeles Harbor College,1111 Figueroa Place,Wilmington,90744-2397,Los Angeles County,-118.28186,33.784201,8694,2369,6325
117706,Los Angeles Pierce College,2019,Los Angeles Pierce College,6201 Winnetka Ave,Woodland Hills,91371-0002,Los Angeles County,-118.575071,34.183949,18765,5154,13611
117715,Los Angeles Southwest College,2019,Los Angeles Southwest College,1600 W. Imperial Hwy.,Los Angeles,90047-4899,Los Angeles County,-118.304674,33.929586,6409,1186,5223
117724,Los Angeles Trade Technical College,2019,Los Angeles Trade Technical College,400 W Washington Blvd,Los Angeles,90015-4181,Los Angeles County,-118.269447,34.031907,13094,2489,10605
117733,Los Angeles Valley College,2019,Los Angeles Valley College,5800 Fulton Avenue,Valley Glen,91401-4096,Los Angeles County,-118.421734,34.175165,16982,3743,13239
117751,The Master's University and Seminary,2019,The Master's University and Seminary,21726 Placerita Canyon Road,Santa Clarita,91321-1200,Los Angeles County,-118.518193,34.381755,2006,1052,954
